attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
family	Family name of taxon http://rs.tdwg.org/dwc/terms/family	character				
verbatimIdentification	Taxon descriptive name  http://rs.tdwg.org/dwc/terms/verbatimIdentification	character				
scientificName	Taxon scientific name http://rs.tdwg.org/dwc/terms/scientificName	character				
scientificNameID	Taxon scientific name identifier http://rs.tdwg.org/dwc/terms/scientificNameID	character				
lifeStage	Taxon life stage http://rs.tdwg.org/dwc/iri/lifeStage using BODC vocabulary http://vocab.nerc.ac.uk/collection/S11/current/	character				
AphiaID	Aphia ID	numeric	dimensionless		NaN	Not taxonomically identified
HRS2303_1	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
HRS2303_2	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
HRS2303_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
EN706_1	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
EN706_2	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
EN706_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
AR77_3	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
AR77_4	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
AR77_5	Taxon abundance as total number of individuals caught in trawl net from event corresponding to column name	numeric	number			
